Type,1999,2005,2012
Total assets,4489109,6395134,9410656
Private pension assets,1309523,1856089,2829705
Registered Plans (RRSPs RRIFs LIRA),536422,674706,958571
Employer-sponsored Pension Plans,773101,1181383,1871134
Non-pension Financial assets,554126,664900,1047214
Bank Deposits,207339,269929,343984
Mutual and investment funds + income trusts,103102,152129,239468
Stocks,117919,117222,204864
Bonds,33172,39375,24378
TFSA,0,0,65939
Other financial assets,92595,86246,168580
Non-financial assets,2176597,3203286,4744580
Principal residence,1418971,2137890,3254275
Other real estate,302863,546886,931762
Vehicles,161343,194726,245520
Other non-financial assets,293420,323785,313023
Equity in business,448863,670859,789158
Total debts,586095,864625,1337071
Mortgages,453557,650751,1029811
Principal residence,388119,552849,821010
Other real estate,65438,97901,208801
Line of credit,33220,77492,144946
Credit card and installment debt,18507,29316,35321
Student loans,19623,22718,28272
Vehicle loans,37093,52439,75814
Other debt,24096,31909,22908
Net Worth,3903014,5530509,8073585
