rank  Team  GP  TOI GF  GA  GF% CF  CA  CF% FF  FA  FF% SF  SA  SF% Sh% Sv% PDO
1 Los Angeles Kings 67  3086.5  99  81  55.00%  3125  2405  56.50%  2320  1849  55.60%  1591  1305  54.90%  6.20% 93.80%  100
2 Chicago Blackhawks  67  3256.8  159 116 57.80%  3223  2572  55.60%  2374  1893  55.60%  1789  1418  55.80%  8.90% 91.80%  100.7
3 San Jose Sharks 68  3265.4  139 115 54.70%  3396  2932  53.70%  2516  2086  54.70%  1785  1493  54.50%  7.80% 92.30%  100.1
4 Boston Bruins 66  3198.6  141 92  60.50%  3149  2705  53.80%  2339  2027  53.60%  1673  1491  52.90%  8.40% 93.80%  102.3
5 St. Louis Blues 66  3107.8  141 102 58.00%  2827  2538  52.70%  2108  1846  53.30%  1477  1320  52.80%  9.50% 92.30%  101.8
6 New Jersey Devils 67  3219  104 116 47.30%  2642  2236  54.20%  1960  1724  53.20%  1398  1290  52.00%  7.40% 91.00%  98.4
7 New York Rangers  68  3253.6  113 115 49.60%  3169  2903  52.20%  2371  2174  52.20%  1742  1569  52.60%  6.50% 92.70%  99.2
8 Dallas Stars  66  3110.4  125 117 51.70%  3023  2893  51.10%  2251  2121  51.50%  1552  1478  51.20%  8.10% 92.10%  100.1
9 Detroit Red Wings 66  3100.7  118 119 49.80%  2684  2547  51.30%  2077  1974  51.30%  1509  1477  50.50%  7.80% 91.90%  99.8
10  Tampa Bay Lightning 66  3131.3  123 105 53.90%  2878  2780  50.90%  2192  2092  51.20%  1563  1447  51.90%  7.90% 92.70%  100.6
11  Florida Panthers  67  3192  122 141 46.40%  2885  2767  51.00%  2199  2119  50.90%  1585  1577  50.10%  7.70% 91.10%  98.8
12  Vancouver Canucks 69  3257.7  116 120 49.20%  3050  2980  50.60%  2244  2166  50.90%  1599  1558  50.60%  7.30% 92.30%  99.6
13  Ottawa Senators 65  3006.5  126 133 48.60%  3043  2807  52.00%  2300  2231  50.80%  1651  1653  50.00%  7.60% 92.00%  99.6
14  Anaheim Ducks 67  3114.8  153 108 58.60%  2874  2863  50.10%  2170  2131  50.50%  1592  1447  52.40%  9.60% 92.50%  102.1
15  Carolina Hurricanes 66  3147  109 119 47.80%  3127  2997  51.10%  2316  2276  50.40%  1628  1593  50.50%  6.70% 92.50%  99.2
16  Winnipeg Jets 68  3189.8  125 139 47.30%  2984  3015  49.70%  2233  2200  50.40%  1599  1597  50.00%  7.80% 91.30%  99.1
17  Phoenix Coyotes 67  3167.7  117 113 50.90%  2991  2931  50.50%  2204  2216  49.90%  1592  1593  50.00%  7.30% 92.90%  100.3
18  Pittsburgh Penguins 65  3097.7  125 117 51.70%  2671  2820  48.60%  2013  2037  49.70%  1480  1407  51.30%  8.40% 91.70%  100.1
19  Nashville Predators 67  3230.2  107 137 43.90%  2796  2967  48.50%  2116  2173  49.30%  1559  1559  50.00%  6.90% 91.20%  98.1
20  Columbus Blue Jackets 66  3086  128 114 52.90%  2657  2708  49.50%  1963  2016  49.30%  1442  1511  48.80%  8.90% 92.50%  101.3
21  Minnesota Wild  66  3135.6  103 94  52.30%  2587  2707  48.90%  1908  1995  48.90%  1361  1400  49.30%  7.60% 93.30%  100.9
22  Philadelphia Flyers 65  2946.9  112 119 48.50%  2726  2768  49.60%  1965  2056  48.90%  1375  1513  47.60%  8.10% 92.10%  100.3
23  New York Islanders  68  3244.8  121 150 44.60%  2988  3089  49.20%  2162  2276  48.70%  1589  1612  49.60%  7.60% 90.70%  98.3
24  Montréal Canadiens  67  3145  96  114 45.70%  2800  3163  47.00%  2040  2196  48.20%  1419  1580  47.30%  6.80% 92.80%  99.6
25  Washington Capitals 68  3205.9  113 128 46.90%  2837  3004  48.60%  2077  2254  48.00%  1484  1668  47.10%  7.60% 92.30%  99.9
26  Calgary Flames  67  3231.2  103 140 42.40%  2683  3094  46.40%  1948  2138  47.70%  1388  1507  47.90%  7.40% 90.70%  98.1
27  Colorado Avalanche  67  3199.7  135 120 52.90%  2798  3144  47.10%  2061  2356  46.70%  1525  1686  47.50%  8.90% 92.90%  101.7
28  Edmonton Oilers 68  3187.8  108 144 42.90%  2566  3215  44.40%  1903  2398  44.20%  1369  1695  44.70%  7.90% 91.50%  99.4
29  Buffalo Sabres  66  3123.7  80  128 38.50%  2432  3175  43.40%  1814  2403  43.00%  1317  1745  43.00%  6.10% 92.70%  98.7
30  Toronto Maple Leafs 68  3238.1  127 132 49.00%  2710  3596  43.00%  2006  2727  42.40%  1439  1883  43.30%  8.80% 93.00%  101.8
